product_id,week_start,Group,Sub-Group,sales_units,production_units,delivery_units,factory_units,production_to_demand_ratio,delivery_to_demand_ratio,demand_production_gap,demand_delivery_gap,factory_delivery_gap
AT5X5K,2022-12-27,A,AT,3712.0,3000,3024.0,2690.0,0.8081896551724138,0.8146551724137931,712.0,688.0,-334.0
AT5X5K,2023-01-03,A,AT,12354.8,11500,12931.34,13576.0,0.930812315861042,1.0466652637031761,854.7999999999993,-576.5400000000009,644.6599999999999
AT5X5K,2023-01-10,A,AT,11160.6,11200,11084.0,11761.0,1.0035302761500278,0.9931365697184739,-39.399999999999636,76.60000000000036,677.0
AT5X5K,2023-01-17,A,AT,7688.0,10000,9368.0,8925.0,1.3007284079084287,1.218522372528616,-2312.0,-1680.0,-443.0
AT5X5K,2023-01-24,A,AT,5350.0,5200,5937.0,6290.0,0.9719626168224299,1.1097196261682243,150.0,-587.0,353.0
AT5X5K,2023-01-31,A,AT,4980.4,7400,4331.4,4460.0,1.4858244317725484,0.86968918159184,-2419.6000000000004,649.0,128.60000000000036
AT5X5K,2023-02-07,A,AT,8281.0,5000,7323.0,7918.0,0.6037918125830214,0.8843134887090931,3281.0,958.0,595.0
AT5X5K,2023-02-14,A,AT,8532.0,11000,8064.0,7339.0,1.2892639474917955,0.9451476793248945,-2468.0,468.0,-725.0
AT5X5K,2023-02-21,A,AT,4589.0,6000,5787.0,5198.0,1.3074743952930923,1.2610590542601874,-1411.0,-1198.0,-589.0
AT5X5K,2023-02-28,A,AT,6017.8,0,4940.8,4632.0,0.0,0.8210309415400977,6017.8,1077.0,-308.8000000000002
AT5X5K,2023-03-07,A,AT,2846.8,2125,3439.8,2723.0,0.7464521568076437,1.208304060699733,721.8000000000002,-593.0,-716.8000000000002
AT5X5K,2023-03-14,A,AT,979.4,1300,2630.4,1830.0,1.3273432713906475,2.6857259546661223,-320.6,-1651.0,-800.4000000000001
AT5X5K,2023-03-21,A,AT,1116.0,1200,1630.0,1430.0,1.075268817204301,1.460573476702509,-84.0,-514.0,-200.0
AT5X5K,2023-03-28,A,AT,4526.2,0,1066.0,810.0,0.0,0.23551765277716408,4526.2,3460.2,-256.0
AT5X5K,2023-04-04,A,AT,4392.4,7200,5563.96,5660.0,1.6391949731354158,1.2667243420453511,-2807.6000000000004,-1171.5600000000004,96.03999999999996
AT5X5K,2023-04-11,A,AT,10747.0,7500,8371.8,8841.0,0.6978691727924072,0.7789894854377966,3247.0,2375.2000000000007,469.2000000000007
AT5X5K,2023-04-18,A,AT,3546.0,8000,5304.0,5176.0,2.2560631697687534,1.4957698815566836,-4454.0,-1758.0,-128.0
AT5X5K,2023-04-25,A,AT,6635.0,5800,8752.2,8844.0,0.8741522230595328,1.319095704596835,835.0,-2117.2000000000007,91.79999999999927
AT5X5K,2023-05-02,A,AT,15640.8,13600,10247.0,9941.0,0.869520740627078,0.6551455168533579,2040.7999999999993,5393.799999999999,-306.0
AT5X5K,2023-05-09,A,AT,7345.0,12200,11383.24,12577.0,1.6609938733832539,1.5497944179714092,-4855.0,-4038.24,1193.7600000000002
AT5X5K,2023-05-16,A,AT,4689.2,3300,6086.2,5592.0,0.7037447752281839,1.2979186215132645,1389.1999999999998,-1397.0,-494.1999999999998
AT5X5K,2023-05-23,A,AT,3262.0,3300,3681.0,3676.0,1.0116492949110976,1.1284488044144696,-38.0,-419.0,-5.0
AT5X5K,2023-05-30,A,AT,1531.6,3058,1591.0,1173.0,1.996604857665187,1.038782972055367,-1526.4,-59.40000000000009,-418.0
AT5X5K,2023-06-06,A,AT,3588.0,2700,3592.0,814.0,0.7525083612040134,1.0011148272017838,888.0,-4.0,-2778.0
AT5X5K,2023-06-13,A,AT,4169.0,2880,3320.8,2054.0,0.6908131446390021,0.796545934276805,1289.0,848.1999999999998,-1266.8000000000002
AT5X5K,2023-06-20,A,AT,3869.0,3900,4353.0,3792.0,1.0080124063065392,1.1250969242698372,-31.0,-484.0,-561.0
AT5X5K,2023-06-27,A,AT,2345.0,400,846.0,440.0,0.17057569296375266,0.3607675906183369,1945.0,1499.0,-406.0
