week_end,Group,Sub-Group,product_id,actual_sales_units,subgroup_forecast_units,allocation_share,sku_forecast_units,absolute_error
2023-07-19,A,AT,AT5X5K,4741.4,3508.125,1.0,3508.125,1233.2749999999996
2023-07-19,A,ATN,ATN01K24P,27434.587,21647.628458333333,0.814373086162848,17629.24599571961,9805.341004280388
2023-07-19,A,ATN,ATN02K12P,4675.5,21647.628458333333,0.18562691383715202,4018.3824626137216,657.1175373862784
2023-07-19,A,ATPA,ATPA1K24P,0.0,0.0,1.0,0.0,0.0
2023-07-19,A,ATPPCH,ATPPCH5X5K,0.0,0.0,1.0,0.0,0.0
2023-07-19,A,ATWWP,ATWWP001K24P,545.708,437.2769583333333,0.7392832805537854,323.2715442672476,222.4364557327524
2023-07-19,A,ATWWP,ATWWP002K12P,40.583,437.2769583333333,0.2607167194462146,114.00541406608573,73.42241406608574
2023-07-19,E,EEA,EEA200G24P,0.0,0.0,0.041666666666666664,0.0,0.0
2023-07-19,E,EEA,EEA500G12P,0.0,0.0,0.9583333333333334,0.0,0.0
2023-07-19,M,MAC,MAC1K25P,70.0,31.75,1.0,31.75,38.25
2023-07-19,M,MAHS,MAHS025K,325.0,156.625,1.0,156.625,168.375
2023-07-19,M,MAP,MAP1K25P,0.0,0.0,1.0,0.0,0.0
2023-07-19,M,MAPA,MAPA1K24P,0.0,0.0,1.0,0.0,0.0
2023-07-19,M,MAR,MAR01K24P,5084.457,5484.0615,0.8581544790741673,4706.171939743196,378.2850602568042
2023-07-19,M,MAR,MAR02K12P,483.58299999999997,5484.0615,0.14184552092583266,777.8895602568032,294.3065602568032
2023-07-19,M,MASR,MASR025K,758.0,606.375,1.0,606.375,151.625
2023-07-19,P,POP,POP001L12P,16412.0,17402.625,0.7751843437867629,13490.242440792115,2921.7575592078847
2023-07-19,P,POP,POP002L09P,1034.0000000000002,17402.625,0.0686748778398095,1195.1231459670148,161.12314596701458
2023-07-19,P,POP,POP005L04P,221.0,17402.625,0.02620728268070056,456.0755127612266,235.0755127612266
2023-07-19,P,POP,POP015K,0.0,17402.625,1.7384683051150951e-06,0.030253911988303583,0.030253911988303583
2023-07-19,P,POP,POP500M24P,1878.0,17402.625,0.1299317572244219,2261.1536465676554,383.1536465676554
2023-07-19,P,POPF,POPF01L12P,1690.0,837.0,1.0,837.0,853.0
2023-07-19,P,POV,POV001L24P,9122.0,20887.375,0.46606730370387955,9734.92254770182,612.9225477018208
2023-07-19,P,POV,POV002L09P,2664.0,20887.375,0.163025369005235,3405.1720169257205,741.1720169257205
2023-07-19,P,POV,POV005L04P,1326.0,20887.375,0.07937817308582372,1658.0016680585072,332.0016680585072
2023-07-19,P,POV,POV500M24P,5040.0,20887.375,0.2915291542050617,6089.278767313951,1049.278767313951
2023-07-19,S,SE,SE200G24P,297.1670833333334,4144.931104166667,0.06819852345672109,282.6781811340033,14.488902199330084
2023-07-19,S,SE,SE500G24P,5330.253000000001,4144.931104166667,0.9318014765432789,3862.2529230326636,1468.000076967337
2023-07-19,S,SO,SO0001L12P,0.0,0.0,0.4268292682926829,0.0,0.0
2023-07-19,S,SO,SO0002L09P,0.0,0.0,0.4878048780487805,0.0,0.0
2023-07-19,S,SO,SO0005L04P,0.0,0.0,0.07317073170731707,0.0,0.0
2023-07-19,S,SO,SO0500M24P,0.0,0.0,0.012195121951219513,0.0,0.0
