product_id,sales_units,production_units,delivery_units,factory_units,production_gap,delivery_gap,production_ratio,delivery_ratio,risk_level
AT5X5K,17672.8,17801,17927.6,17871.0,-128.20000000000073,-254.79999999999927,1.0072540853741343,1.014417636141415,Low
ATN01K24P,92879.63233333333,95595,95332.91733333333,97826.0,-2715.3676666666724,-2453.2850000000035,1.0292353403911156,1.0264135950839628,Low
ATN02K12P,17934.996666666666,16694,19000.829999999998,19697.0,1240.996666666666,-1065.8333333333321,0.9308058601999555,1.059427573539183,Medium
ATPA1K24P,0.0,0,0.0,0.0,0.0,0.0,,,Low
ATPPCH5X5K,0.0,0,0.0,0.0,0.0,0.0,,,Low
ATWWP001K24P,1383.124,503,1539.724,1657.0,880.124,-156.5999999999999,0.3636694902264728,1.1132219526231921,Medium
ATWWP002K12P,703.9159999999999,0,413.916,415.0,703.9159999999999,289.99999999999994,0.0,0.5880190249973009,High
EEA200G24P,0.0,0,0.0,0.0,0.0,0.0,,,Low
EEA500G12P,0.0,0,0.0,0.0,0.0,0.0,,,Low
MAC1K25P,135.0,143,105.0,83.0,-8.0,30.0,1.0592592592592593,0.7777777777777778,Medium
MAHS025K,1250.0,2398,1305.0,2325.0,-1148.0,-55.0,1.9184,1.044,Low
MAP1K25P,475.0,490,463.0,463.0,-15.0,12.0,1.0315789473684212,0.9747368421052631,Medium
MAPA1K24P,0.0,0,0.0,0.0,0.0,0.0,,,Low
MAR01K24P,15943.13,14600,16548.13,15080.0,1343.1299999999992,-605.0000000000018,0.9157549364522525,1.037947379216001,Medium
MAR02K12P,2818.913,2603,2471.913,2547.0,215.913,347.0,0.9234055822226511,0.876902905481652,High
MASR025K,4722.0,3811,3912.0,3994.0,911.0,810.0,0.8070732740364253,0.8284625158831004,High
POP001L12P,77404.0,91914,85514.0,85660.0,-14510.0,-8110.0,1.1874580125058136,1.1047749470311612,Low
POP002L09P,4380.000000000001,5731,5746.000000000001,6225.0,-1350.999999999999,-1366.0,1.3084474885844746,1.3118721461187215,Low
POP005L04P,1065.0,706,980.000989010989,830.0,359.0,84.99901098901103,0.6629107981220658,0.920188722076046,High
POP015K,0.0,0,0.0,0.0,0.0,0.0,,,Low
POP500M24P,8201.0,9128,8657.0,8513.0,-927.0,-456.0,1.1130349957322279,1.0556029752469211,Low
POPF01L12P,4624.0,4876,4176.0,3971.0,-252.0,448.0,1.0544982698961938,0.903114186851211,Medium
POV001L24P,45766.0,45665,46563.0,46689.0,101.0,-797.0,0.9977931215312678,1.017414674649303,Medium
POV002L09P,15146.0,23264,19024.0,20756.0,-8118.0,-3878.0,1.5359830978476166,1.2560411989964346,Low
POV005L04P,6680.0,5509,6681.0,6352.0,1171.0,-1.0,0.8247005988023952,1.0001497005988025,Medium
POV500M24P,24549.0,24982,24932.0,24192.0,-433.0,-383.0,1.0176381930017515,1.0156014501609028,Low
SE200G24P,994.4591666666668,902,1012.9170833333334,988.0,92.45916666666676,-18.45791666666662,0.9070256781114692,1.0185607587373706,Medium
SE500G24P,15301.17,14100,15388.003,14836.0,1201.17,-86.83300000000054,0.9214981599446317,1.0056749255122321,Medium
SO0001L12P,0.0,0,0.0,0.0,0.0,0.0,,,Low
SO0002L09P,0.0,0,0.0,0.0,0.0,0.0,,,Low
SO0005L04P,0.0,0,0.0,0.0,0.0,0.0,,,Low
SO0500M24P,0.0,0,0.0,0.0,0.0,0.0,,,Low
SOP001L12P,1619.5829710144926,1880,1731.7529891304348,1755.0,-260.4170289855074,-112.17001811594218,1.1607926445549033,1.0692585808343489,Low
SOS001L12P,142827.49302536232,136159,136144.16295289856,147936.0,6668.493025362317,6683.330072463752,0.9533108585461332,0.9532069776560668,High
SOS002L09P,92697.99800724638,159891,106361.55694444443,154771.0,-67193.00199275362,-13663.558937198046,1.7248592573434112,1.1473986410810073,Low
SOS003L04P,19185.749999999996,25802,20960.499999999993,23032.0,-6616.250000000004,-1774.7499999999964,1.3448522992325036,1.0925035508124519,Low
SOS005L04P,121284.74999999999,114920,125275.25,136145.0,6364.749999999985,-3990.5000000000146,0.9475222565079288,1.0329019105864505,Medium
SOS008L02P,8614.0,10524,8036.999999999999,8608.0,-1910.0,577.0000000000009,1.2217320640817275,0.933016020431855,Medium
SOS250M48P,5695.999999999998,9737,7191.999003623188,7949.0,-4041.000000000002,-1495.9990036231902,1.7094452247191017,1.2626402745124983,Low
SOS500M24P,52121.00000000002,53641,55177.0,58611.0,-1519.9999999999782,-3055.999999999978,1.0291629093839332,1.0586327967613818,Low
