product_id,Group,Sub-Group,forecast_sales_units,sales_units,production_units,delivery_units,projected_14d_production,forecast_production_gap,recent_delivery_ratio,risk_level
AT5X5K,A,AT,3156.0,17672.8,17801,17927.6,8900.5,-5744.5,1.014417636141415,Low
ATN01K24P,A,ATN,19842.084,92879.63233333333,95595,95332.91733333333,47797.5,-27955.416,1.0264135950839628,Low
ATN02K12P,A,ATN,8724.833999999999,17934.996666666666,16694,19000.829999999998,8347.0,377.8339999999989,1.059427573539183,Medium
ATPA1K24P,A,ATPA,0.0,0.0,0,0.0,0.0,0.0,,Low
ATPPCH5X5K,A,ATPPCH,0.0,0.0,0,0.0,0.0,0.0,,Low
ATWWP001K24P,A,ATWWP,454.0,1383.124,503,1539.724,251.5,202.5,1.1132219526231921,Medium
ATWWP002K12P,A,ATWWP,372.0,703.9159999999999,0,413.916,0.0,372.0,0.5880190249973009,High
EEA200G24P,E,EEA,0.0,0.0,0,0.0,0.0,0.0,,Low
EEA500G12P,E,EEA,0.0,0.0,0,0.0,0.0,0.0,,Low
MAC1K25P,M,MAC,20.0,135.0,143,105.0,71.5,-51.5,0.7777777777777778,Medium
MAHS025K,M,MAHS,625.0,1250.0,2398,1305.0,1199.0,-574.0,1.044,Low
MAP1K25P,M,MAP,20.0,475.0,490,463.0,245.0,-225.0,0.9747368421052631,Low
MAPA1K24P,M,MAPA,0.0,0.0,0,0.0,0.0,0.0,,Low
MAR01K24P,M,MAR,4450.84,15943.13,14600,16548.13,7300.0,-2849.16,1.037947379216001,Low
MAR02K12P,M,MAR,2268.0,2818.913,2603,2471.913,1301.5,966.5,0.876902905481652,High
MASR025K,M,MASR,3430.0,4722.0,3811,3912.0,1905.5,1524.5,0.8284625158831004,High
POP001L12P,P,POP,25144.0,77404.0,91914,85514.0,45957.0,-20813.0,1.1047749470311612,Low
POP002L09P,P,POP,1564.0000000000005,4380.000000000001,5731,5746.000000000001,2865.5,-1301.4999999999995,1.3118721461187215,Low
POP005L04P,P,POP,340.0,1065.0,706,980.000989010989,353.0,-13.0,0.920188722076046,Low
POP015K,P,POP,0.0,0.0,0,0.0,0.0,0.0,,Low
POP500M24P,P,POP,2432.0,8201.0,9128,8657.0,4564.0,-2132.0,1.0556029752469211,Low
POPF01L12P,P,POPF,2440.0,4624.0,4876,4176.0,2438.0,2.0,0.903114186851211,Medium
POV001L24P,P,POV,12468.000000000002,45766.0,45665,46563.0,22832.5,-10364.499999999998,1.017414674649303,Low
POV002L09P,P,POV,4270.0,15146.0,23264,19024.0,11632.0,-7362.0,1.2560411989964346,Low
POV005L04P,P,POV,2992.0,6680.0,5509,6681.0,2754.5,237.5,1.0001497005988025,Medium
POV500M24P,P,POV,7088.000000000002,24549.0,24982,24932.0,12491.0,-5402.999999999998,1.0156014501609028,Low
SE200G24P,S,SE,490.0,994.4591666666668,902,1012.9170833333334,451.0,39.0,1.0185607587373706,Medium
SE500G24P,S,SE,6754.166,15301.17,14100,15388.003,7050.0,-295.83399999999983,1.0056749255122321,Low
SO0001L12P,S,SO,0.0,0.0,0,0.0,0.0,0.0,,Low
SO0002L09P,S,SO,0.0,0.0,0,0.0,0.0,0.0,,Low
SO0005L04P,S,SO,0.0,0.0,0,0.0,0.0,0.0,,Low
SO0500M24P,S,SO,0.0,0.0,0,0.0,0.0,0.0,,Low
SOP001L12P,S,SOP,809.7914855072463,1619.5829710144926,1880,1731.7529891304348,940.0,-130.2085144927537,1.0692585808343489,Low
SOS001L12P,S,SOS,62528.66014492755,142827.49302536232,136159,136144.16295289856,68079.5,-5550.839855072452,0.9532069776560668,Low
SOS002L09P,S,SOS,29734.0,92697.99800724638,159891,106361.55694444443,79945.5,-50211.5,1.1473986410810073,Low
SOS003L04P,S,SOS,6157.999999999999,19185.749999999996,25802,20960.499999999993,12901.0,-6743.000000000001,1.0925035508124519,Low
SOS005L04P,S,SOS,46098.5,121284.74999999999,114920,125275.25,57460.00000000001,-11361.500000000007,1.0329019105864505,Low
SOS008L02P,S,SOS,4240.0,8614.0,10524,8036.999999999999,5262.0,-1022.0,0.933016020431855,Low
SOS250M48P,S,SOS,2491.999999999999,5695.999999999998,9737,7191.999003623188,4868.5,-2376.500000000001,1.2626402745124983,Low
SOS500M24P,S,SOS,18120.000000000015,52121.00000000002,53641,55177.0,26820.5,-8700.499999999985,1.0586327967613818,Low
