week_end,Group,Sub-Group,subgroup_forecast_units,selected_model,product_id,allocation_share,sku_forecast_units
2023-08-16,A,AT,4212.525,moving_average_8,AT5X5K,1.0,4212.525
2023-08-23,A,AT,4212.525,moving_average_8,AT5X5K,1.0,4212.525
2023-08-16,A,ATN,27247.753958333335,moving_average_8,ATN01K24P,0.8383074828960546,22841.996035381428
2023-08-16,A,ATN,27247.753958333335,moving_average_8,ATN02K12P,0.1616925171039454,4405.757922951909
2023-08-23,A,ATN,27247.753958333335,moving_average_8,ATN01K24P,0.8383074828960546,22841.996035381428
2023-08-23,A,ATN,27247.753958333335,moving_average_8,ATN02K12P,0.1616925171039454,4405.757922951909
2023-08-16,A,ATPA,0.0,moving_average_8,ATPA1K24P,1.0,0.0
2023-08-23,A,ATPA,0.0,moving_average_8,ATPA1K24P,1.0,0.0
2023-08-16,A,ATPPCH,0.0,moving_average_8,ATPPCH5X5K,1.0,0.0
2023-08-23,A,ATPPCH,0.0,moving_average_8,ATPPCH5X5K,1.0,0.0
2023-08-16,A,ATWWP,458.3489583333333,moving_average_8,ATWWP001K24P,0.7043375484161316,322.8323816315876
2023-08-16,A,ATWWP,458.3489583333333,moving_average_8,ATWWP002K12P,0.29566245158386834,135.51657670174563
2023-08-23,A,ATWWP,458.3489583333333,moving_average_8,ATWWP001K24P,0.7043375484161316,322.8323816315876
2023-08-23,A,ATWWP,458.3489583333333,moving_average_8,ATWWP002K12P,0.29566245158386834,135.51657670174563
2023-08-16,E,EEA,0.0,moving_average_8,EEA200G24P,0.041666666666666664,0.0
2023-08-16,E,EEA,0.0,moving_average_8,EEA500G12P,0.9583333333333334,0.0
2023-08-23,E,EEA,0.0,moving_average_8,EEA200G24P,0.041666666666666664,0.0
2023-08-23,E,EEA,0.0,moving_average_8,EEA500G12P,0.9583333333333334,0.0
2023-08-16,M,MAC,27.375,moving_average_8,MAC1K25P,1.0,27.375
2023-08-23,M,MAC,27.375,moving_average_8,MAC1K25P,1.0,27.375
2023-08-16,M,MAHS,251.0,moving_average_8,MAHS025K,1.0,251.0
2023-08-23,M,MAHS,251.0,moving_average_8,MAHS025K,1.0,251.0
2023-08-16,M,MAP,59.375,moving_average_8,MAP1K25P,1.0,59.375
2023-08-23,M,MAP,59.375,moving_average_8,MAP1K25P,1.0,59.375
2023-08-16,M,MAPA,0.0,moving_average_8,MAPA1K24P,1.0,0.0
2023-08-23,M,MAPA,0.0,moving_average_8,MAPA1K24P,1.0,0.0
2023-08-16,M,MAR,5731.811125,moving_average_8,MAR01K24P,0.865374457679966,4960.162943820871
2023-08-16,M,MAR,5731.811125,moving_average_8,MAR02K12P,0.13462554232003404,771.6481811791294
