week_end,Group,Sub-Group,product_id,sales_units,forecast_units
2023-07-19,A,AT,AT5X5K,4741.4,3508.125
2023-07-26,A,AT,AT5X5K,8069.0,3508.125
2023-08-02,A,AT,AT5X5K,3284.4,3508.125
2023-08-09,A,AT,AT5X5K,1578.0,3508.125
2023-07-19,A,ATN,ATN01K24P,27434.587,17593.03208333333
2023-07-26,A,ATN,ATN01K24P,35411.291666666664,17593.03208333333
2023-08-02,A,ATN,ATN01K24P,20112.711666666666,17593.03208333333
2023-08-09,A,ATN,ATN01K24P,9921.042,17593.03208333333
2023-07-19,A,ATN,ATN02K12P,4675.5,4054.596375
2023-07-26,A,ATN,ATN02K12P,4999.833333333333,4054.596375
2023-08-02,A,ATN,ATN02K12P,3897.2463333333335,4054.596375
2023-08-09,A,ATN,ATN02K12P,4362.4169999999995,4054.596375
2023-07-19,A,ATPA,ATPA1K24P,0.0,0.0
2023-07-26,A,ATPA,ATPA1K24P,0.0,0.0
2023-08-02,A,ATPA,ATPA1K24P,0.0,0.0
2023-08-09,A,ATPA,ATPA1K24P,0.0,0.0
2023-07-19,A,ATPPCH,ATPPCH5X5K,0.0,0.0
2023-07-26,A,ATPPCH,ATPPCH5X5K,0.0,0.0
2023-08-02,A,ATPPCH,ATPPCH5X5K,0.0,0.0
2023-08-09,A,ATPPCH,ATPPCH5X5K,0.0,0.0
2023-07-19,A,ATWWP,ATWWP001K24P,545.708,324.4331666666667
2023-07-26,A,ATWWP,ATWWP001K24P,396.0,324.4331666666667
2023-08-02,A,ATWWP,ATWWP001K24P,214.416,324.4331666666667
2023-08-09,A,ATWWP,ATWWP001K24P,227.0,324.4331666666667
2023-07-19,A,ATWWP,ATWWP002K12P,40.583,112.84379166666668
2023-07-26,A,ATWWP,ATWWP002K12P,241.0,112.84379166666668
2023-08-02,A,ATWWP,ATWWP002K12P,236.333,112.84379166666668
2023-08-09,A,ATWWP,ATWWP002K12P,186.0,112.84379166666668
2023-07-19,E,EEA,EEA200G24P,0.0,0.0
2023-07-26,E,EEA,EEA200G24P,0.0,0.0
2023-08-02,E,EEA,EEA200G24P,0.0,0.0
2023-08-09,E,EEA,EEA200G24P,0.0,0.0
2023-07-19,E,EEA,EEA500G12P,0.0,0.0
2023-07-26,E,EEA,EEA500G12P,0.0,0.0
2023-08-02,E,EEA,EEA500G12P,0.0,0.0
2023-08-09,E,EEA,EEA500G12P,0.0,0.0
2023-07-19,M,MAC,MAC1K25P,70.0,31.75
2023-07-26,M,MAC,MAC1K25P,5.0,31.75
2023-08-02,M,MAC,MAC1K25P,50.0,31.75
2023-08-09,M,MAC,MAC1K25P,10.0,31.75
2023-07-19,M,MAHS,MAHS025K,325.0,156.625
2023-07-26,M,MAHS,MAHS025K,413.0,156.625
2023-08-02,M,MAHS,MAHS025K,471.0,156.625
2023-08-09,M,MAHS,MAHS025K,41.0,156.625
2023-07-19,M,MAP,MAP1K25P,0.0,0.0
2023-07-26,M,MAP,MAP1K25P,25.0,0.0
2023-08-02,M,MAP,MAP1K25P,440.0,0.0
2023-08-09,M,MAP,MAP1K25P,10.0,0.0
2023-07-19,M,MAPA,MAPA1K24P,0.0,0.0
2023-07-26,M,MAPA,MAPA1K24P,0.0,0.0
2023-08-02,M,MAPA,MAPA1K24P,0.0,0.0
2023-08-09,M,MAPA,MAPA1K24P,0.0,0.0
2023-07-19,M,MAR,MAR01K24P,5084.457,4712.26775
2023-07-26,M,MAR,MAR01K24P,4299.0,4712.26775
2023-08-02,M,MAR,MAR01K24P,4334.253,4712.26775
2023-08-09,M,MAR,MAR01K24P,2225.42,4712.26775
2023-07-19,M,MAR,MAR02K12P,483.58299999999997,771.79375
2023-07-26,M,MAR,MAR02K12P,544.0,771.79375
2023-08-02,M,MAR,MAR02K12P,657.3299999999999,771.79375
2023-08-09,M,MAR,MAR02K12P,1134.0,771.79375
2023-07-19,M,MASR,MASR025K,758.0,606.375
2023-07-26,M,MASR,MASR025K,951.0,606.375
2023-08-02,M,MASR,MASR025K,1298.0,606.375
2023-08-09,M,MASR,MASR025K,1715.0,606.375
2023-07-19,P,POP,POP001L12P,16412.0,13288.5
2023-07-26,P,POP,POP001L12P,26644.0,13288.5
2023-08-02,P,POP,POP001L12P,21776.0,13288.5
2023-08-09,P,POP,POP001L12P,12572.0,13288.5
2023-07-19,P,POP,POP002L09P,1034.0000000000002,1252.7500000000005
2023-07-26,P,POP,POP002L09P,1098.0000000000005,1252.7500000000005
2023-08-02,P,POP,POP002L09P,1466.0000000000005,1252.7500000000005
2023-08-09,P,POP,POP002L09P,782.0000000000002,1252.7500000000005
2023-07-19,P,POP,POP005L04P,221.0,460.25
2023-07-26,P,POP,POP005L04P,295.0,460.25
2023-08-02,P,POP,POP005L04P,379.0,460.25
2023-08-09,P,POP,POP005L04P,170.0,460.25
2023-07-19,P,POP,POP015K,0.0,0.0
2023-07-26,P,POP,POP015K,0.0,0.0
2023-08-02,P,POP,POP015K,0.0,0.0
2023-08-09,P,POP,POP015K,0.0,0.0
2023-07-19,P,POP,POP500M24P,1878.0,2401.125
2023-07-26,P,POP,POP500M24P,2058.0,2401.125
2023-08-02,P,POP,POP500M24P,3049.0000000000005,2401.125
2023-08-09,P,POP,POP500M24P,1216.0,2401.125
2023-07-19,P,POPF,POPF01L12P,1690.0,837.0
2023-07-26,P,POPF,POPF01L12P,944.0,837.0
2023-08-02,P,POPF,POPF01L12P,770.0,837.0
2023-08-09,P,POPF,POPF01L12P,1220.0,837.0
2023-07-19,P,POV,POV001L24P,9122.0,9690.625
2023-07-26,P,POV,POV001L24P,13763.0,9690.625
