product_id,Group,Sub-Group,forecast_start,forecast_end,forecast_2w_demand,selected_model,allocation_share,recent_8w_demand,recent_8w_production,recent_8w_delivery,recent_8w_factory_issue,recent_avg_weekly_demand,recent_avg_weekly_production,recent_avg_weekly_delivery,recent_production_to_demand_ratio,recent_delivery_to_demand_ratio,projected_2w_production,projected_2w_delivery,forecast_production_gap,forecast_delivery_gap,forecast_production_gap_pct,risk_level,risk_rank,risk_reason
SOS008L02P,S,SOS,2023-08-16,2023-08-23,4698.32042293332,moving_average_8,0.0196455503822983,19392.5,14761,17336.5,16636.0,2424.0625,1845.125,2167.0625,0.7611705556271755,0.8939796313007606,3690.25,4334.125,1008.0704229333196,364.1954229333196,0.21455974309728906,High,3,Forecast demand exceeds production proxy and recent delivery ratio is below 90%
MAR02K12P,M,MAR,2023-08-16,2023-08-23,1543.2963623582589,moving_average_8,0.134625542320034,6034.563,4512,4716.48,4484.0,754.320375,564.0,589.56,0.7476929149633535,0.781577721535097,1128.0,1179.12,415.2963623582589,364.176362358259,0.2690969618587441,High,3,Forecast demand exceeds production proxy and recent delivery ratio is below 90%
MASR025K,M,MASR,2023-08-16,2023-08-23,1797.5,moving_average_8,1.0,7190.0,5906,6072.0,5939.0,898.75,738.25,759.0,0.8214186369958275,0.8445062586926286,1476.5,1518.0,321.0,279.5,0.17858136300417246,High,3,Forecast demand exceeds production proxy and recent delivery ratio is below 90%
POPF01L12P,P,POPF,2023-08-16,2023-08-23,2340.0,moving_average_8,1.0,9360.0,8450,8046.083974358974,7276.0,1170.0,1056.25,1005.7604967948718,0.9027777777777778,0.8596243562349332,2112.5,2011.5209935897435,227.5,328.4790064102565,0.09722222222222222,High,3,Forecast demand exceeds production proxy and recent delivery ratio is below 90%
ATWWP002K12P,A,ATWWP,2023-08-16,2023-08-23,271.03315340349127,moving_average_8,0.2956624515838683,1096.416,414,572.583,527.0,137.052,51.75,71.572875,0.3775939059627003,0.5222315252604851,103.5,143.14575,167.53315340349127,127.88740340349128,0.6181278980069352,High,3,Forecast demand exceeds production proxy and recent delivery ratio is below 90%
MAC1K25P,M,MAC,2023-08-16,2023-08-23,54.75,moving_average_8,1.0,219.0,189,179.0,130.0,27.375,23.625,22.375,0.863013698630137,0.817351598173516,47.25,44.75,7.5,10.0,0.136986301369863,High,3,Forecast demand exceeds production proxy and recent delivery ratio is below 90%
SOS005L04P,S,SOS,2023-08-16,2023-08-23,69577.34494998053,moving_average_8,0.2909306119287629,277525.49999999994,268071,276877.25,263144.0,34690.68749999999,33508.875,34609.65625,0.9659328602236553,0.9976641786070111,67017.75,69219.3125,2559.5949499805283,358.0324499805283,0.03678776406056645,Medium,2,Forecast demand exceeds production proxy
SOS001L12P,S,SOS,2023-08-16,2023-08-23,74839.72940567108,moving_average_8,0.3129347388611588,298268.23496376805,292088,293967.1558876812,287624.333,37283.529370471006,36511.0,36745.89448596015,0.9792796072819528,0.9855798285841288,73022.0,73491.7889719203,1817.7294056710816,1347.9404337507876,0.024288294734712668,Medium,2,Forecast demand exceeds production proxy
ATN01K24P,A,ATN,2023-08-16,2023-08-23,45683.992070762855,moving_average_8,0.8383074828960546,183538.381,178095,183472.378,179332.0,22942.297625,22261.875,22934.04725,0.9703420016546839,0.9996403858438743,44523.75,45868.0945,1160.2420707628553,-184.10242923714395,0.025397125298631567,Medium,2,Forecast demand exceeds production proxy
ATN02K12P,A,ATN,2023-08-16,2023-08-23,8811.515845903818,moving_average_8,0.1616925171039454,34443.65066666667,30824,33103.90033333333,31754.0,4305.4563333333335,3853.0,4137.987541666666,0.894910945947735,0.9611031261959145,7706.0,8275.975083333333,1105.5158459038175,535.5407625704847,0.1254626179237634,Medium,2,Forecast demand exceeds production proxy
SE500G24P,S,SE,2023-08-16,2023-08-23,8202.24360060477,moving_average_8,0.933349330338328,32902.203,30279,32769.706,31032.25,4112.775375,3784.875,4096.21325,0.9202727245953712,0.9959730052118394,7569.75,8192.4265,632.4936006047701,9.81710060477053,0.07711226725308852,Medium,2,Forecast demand exceeds production proxy
MAR01K24P,M,MAR,2023-08-16,2023-08-23,9920.325887641742,moving_average_8,0.865374457679966,39819.926,38631,40186.973,37793.0,4977.49075,4828.875,5023.371625,0.9701424357242653,1.009217671574779,9657.75,10046.74325,262.57588764174216,-126.41736235825738,0.026468473981166928,Medium,2,Forecast demand exceeds production proxy
AT5X5K,A,AT,2023-08-16,2023-08-23,8425.05,moving_average_8,1.0,33700.2,32781,33852.0,33007.0,4212.525,4097.625,4231.5,0.9727241974825076,1.0045044243060872,8195.25,8463.0,229.79999999999927,-37.95000000000073,0.027275802517492394,Medium,2,Forecast demand exceeds production proxy
POV005L04P,P,POV,2023-08-16,2023-08-23,3792.9167536926825,moving_average_8,0.0801690234655989,14669.0,14263,14762.0,13779.0,1833.625,1782.875,1845.25,0.9723225850432886,1.0063399004703797,3565.75,3690.5,227.1667536926825,102.4167536926825,0.05989236475372654,Medium,2,Forecast demand exceeds production proxy
ATWWP001K24P,A,ATWWP,2023-08-16,2023-08-23,645.6647632631752,moving_average_8,0.7043375484161316,2570.375666666667,1703,2575.7683333333334,1856.0,321.29695833333335,212.875,321.9710416666667,0.6625490670818934,1.0020980072043943,425.75,643.9420833333334,219.91476326317525,1.7226799298418882,0.3406020829628846,Medium,2,Forecast demand exceeds production proxy
POP005L04P,P,POP,2023-08-16,2023-08-23,840.3488906132508,moving_average_8,0.0190189803181697,3168.0,3006,3097.000989010989,2712.0,396.0,375.75,387.12512362637364,0.9488636363636364,0.977588696026196,751.5,774.2502472527473,88.84889061325077,66.0986433605035,0.10572857488799996,Medium,2,Forecast demand exceeds production proxy
SOP001L12P,S,SOP,2023-08-16,2023-08-23,1055.6882472826087,moving_average_8,1.0,4222.752989130434,3875,4308.173007246377,4116.0,527.8441236413042,484.375,538.5216259057971,0.9176478022689069,1.0202285140371266,968.75,1077.0432518115942,86.9382472826087,-21.355004528985546,0.08235219773109329,Medium,2,Forecast demand exceeds production proxy
SE200G24P,S,SE,2023-08-16,2023-08-23,585.7239202285639,moving_average_8,0.0666506696616718,2249.6670833333333,2129,2278.9170833333333,2073.0,281.20838541666666,266.125,284.86463541666666,0.9463622487845887,1.0130019238031702,532.25,569.7292708333333,53.473920228563884,15.994649395230567,0.09129543524139674,Medium,2,Forecast demand exceeds production proxy
SOS250M48P,S,SOS,2023-08-16,2023-08-23,2477.486727422228,moving_average_8,0.0103593595037652,10227.999999999996,9737,9957.93804347826,9772.0,1278.4999999999995,1217.125,1244.7422554347825,0.95199452483379,0.9735958196595877,2434.25,2489.484510869565,43.23672742222789,-11.997783447337042,0.017451850273771104,Medium,2,Forecast demand exceeds production proxy
POP002L09P,P,POP,2023-08-16,2023-08-23,2488.581637746917,moving_average_8,0.0563221844131044,10038.000000000002,9906,10085.99700854701,10402.0,1254.7500000000002,1238.25,1260.7496260683763,0.9868499701135682,1.0047815310367612,2476.5,2521.4992521367526,12.08163774691684,-32.91761438983576,0.004854828776224184,Medium,2,Forecast demand exceeds production proxy
POP015K,P,POP,2023-08-16,2023-08-23,0.0663166829013506,moving_average_8,1.5008952840369278e-06,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0663166829013506,0.0663166829013506,1.0,Medium,2,Forecast demand exceeds production proxy
ATPA1K24P,A,ATPA,2023-08-16,2023-08-23,0.0,moving_average_8,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
ATPPCH5X5K,A,ATPPCH,2023-08-16,2023-08-23,0.0,moving_average_8,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
EEA200G24P,E,EEA,2023-08-16,2023-08-23,0.0,moving_average_8,0.0416666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
EEA500G12P,E,EEA,2023-08-16,2023-08-23,0.0,moving_average_8,0.9583333333333334,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
MAPA1K24P,M,MAPA,2023-08-16,2023-08-23,0.0,moving_average_8,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
SO0001L12P,S,SO,2023-08-16,2023-08-23,0.0,moving_average_8,0.4268292682926829,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
SO0002L09P,S,SO,2023-08-16,2023-08-23,0.0,moving_average_8,0.4878048780487805,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
SO0005L04P,S,SO,2023-08-16,2023-08-23,0.0,moving_average_8,0.073170731707317,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
SO0500M24P,S,SO,2023-08-16,2023-08-23,0.0,moving_average_8,0.0121951219512195,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,Low,1,No current proxy risk flag
MAP1K25P,M,MAP,2023-08-16,2023-08-23,118.75,moving_average_8,1.0,475.0,490,463.0,463.0,59.375,61.25,57.875,1.0315789473684212,0.9747368421052631,122.5,115.75,-3.75,3.0,-0.031578947368421054,Low,1,No current proxy risk flag
POP500M24P,P,POP,2023-08-16,2023-08-23,4674.809829213125,moving_average_8,0.1058014321505299,19101.0,19280,19669.0,18018.0,2387.625,2410.0,2458.625,1.0093712371080048,1.0297366630019371,4820.0,4917.25,-145.19017078687466,-242.44017078687466,-0.0310579844081729,Low,1,No current proxy risk flag
MAHS025K,M,MAHS,2023-08-16,2023-08-23,502.0,moving_average_8,1.0,2008.0,3661,2085.0,3525.0,251.0,457.625,260.625,1.823207171314741,1.0383466135458168,915.25,521.25,-413.25,-19.25,-0.8232071713147411,Low,1,No current proxy risk flag
